times,egoAcc,actVel,actAcc,disInit,DTC,PET,isCollision
1,2.9,42,0.5,82,22.9084544042614,2500,Success
1,2.9,42,0.5,82,22.6353131337579,2460,Success
1,2.9,42,0.5,82,22.3622623072932,2440,Success
1,2.9,42,1.5,82,23.1107886891669,2520,Success
1,2.9,42,1.5,82,22.837582088319,2480,Success
1,2.9,42,1.5,82,22.5644640337343,2460,Success
1,2.9,42,2.5,82,23.1512962192914,2520,Success
1,2.9,42,2.5,82,22.8780767056569,2480,Success
1,2.9,42,2.5,82,22.6049453647413,2460,Success
1,2.9,42,0.5,84,24.8775232163706,2680,Success
1,2.9,42,0.5,84,24.6038006066254,2640,Success
1,2.9,42,0.5,84,24.3301520259509,2620,Success
1,2.9,42,1.5,84,25.0802777875734,2700,Success
1,2.9,42,1.5,84,24.8065016212669,2660,Success
1,2.9,42,1.5,84,24.5327980266198,2640,Success
1,2.9,42,2.5,84,25.1208684256931,2700,Success
1,2.9,42,2.5,84,24.8470816654011,2660,Success
1,2.9,42,2.5,84,24.573367189606,2640,Success
1,2.9,42,0.5,86,26.850343136376,2860,Success
1,2.9,42,0.5,86,26.5761414178076,2820,Success
1,2.9,42,0.5,86,26.3020010351778,2800,Success
1,2.9,42,1.5,86,27.0534445897707,2880,Success
1,2.9,42,1.5,86,26.7791984363469,2840,Success
1,2.9,42,1.5,86,26.5050124818492,2820,Success
1,2.9,42,2.5,86,27.0941038714023,2880,Success
1,2.9,42,2.5,86,26.81984892222,2840,Success
1,2.9,42,2.5,86,26.5456539477254,2820,Success
1,2.9,42,0.5,88,28.8262744938758,3040,Success
1,2.9,42,0.5,88,28.5516733842686,3000,Success
1,2.9,42,0.5,88,28.2771236468368,2980,Success
1,2.9,42,1.5,88,29.0296654869576,3060,Success
1,2.9,42,1.5,88,28.7550271150083,3020,Success
1,2.9,42,1.5,88,28.4804392156312,3000,Success
1,2.9,42,2.5,88,29.0703821023022,3060,Success
1,2.9,42,2.5,88,28.7957363497849,3020,Success
1,2.9,42,2.5,88,28.5211408922773,3000,Success
1,2.9,42,0.5,90,30.8048145240451,3220,Success
1,2.9,42,0.5,90,30.5298770713275,3180,Success
1,2.9,42,0.5,90,30.254983063818,3160,Success
1,2.9,42,1.5,90,31.0084496323044,3240,Success
1,2.9,42,1.5,90,30.7334806322757,3200,Success
1,2.9,42,1.5,90,30.4585543566699,3180,Success
1,2.9,42,2.5,90,31.0492146148794,3240,Success
1,2.9,42,2.5,90,30.7742393627746,3200,Success
1,2.9,42,2.5,90,30.4993066927201,3180,Success
1,2.9,42,0.5,92,32.7855627669239,3400,Success
1,2.9,42,0.5,92,32.5103394704632,3360,Success
1,2.9,42,0.5,92,32.2351532362069,3340,Success
1,2.9,42,1.5,92,32.9894055542253,3420,Success
1,2.9,42,1.5,92,32.714155318684,3380,Success
1,2.9,42,1.5,92,32.4389415612463,3360,Success
