times,InitDistance,EgoInitSpeed,EgoTargetSpeed,EgoAcceleration,ActorInitSpeed,ActorReactionTime,ActorTargetSpeed,ActorAcceleration
1,82,0,10,2.9,42,1,40,0.5
1,82,0,10,2.9,42,1.5,40,0.5
1,82,0,10,2.9,42,2,40,0.5
1,82,0,10,2.9,42,1,40,1.5
1,82,0,10,2.9,42,1.5,40,1.5
1,82,0,10,2.9,42,2,40,1.5
1,82,0,10,2.9,42,1,40,2.5
1,82,0,10,2.9,42,1.5,40,2.5
1,82,0,10,2.9,42,2,40,2.5
1,84,0,10,2.9,42,1,40,0.5
1,84,0,10,2.9,42,1.5,40,0.5
1,84,0,10,2.9,42,2,40,0.5
1,84,0,10,2.9,42,1,40,1.5
1,84,0,10,2.9,42,1.5,40,1.5
1,84,0,10,2.9,42,2,40,1.5
1,84,0,10,2.9,42,1,40,2.5
1,84,0,10,2.9,42,1.5,40,2.5
1,84,0,10,2.9,42,2,40,2.5
1,86,0,10,2.9,42,1,40,0.5
1,86,0,10,2.9,42,1.5,40,0.5
1,86,0,10,2.9,42,2,40,0.5
1,86,0,10,2.9,42,1,40,1.5
1,86,0,10,2.9,42,1.5,40,1.5
1,86,0,10,2.9,42,2,40,1.5
1,86,0,10,2.9,42,1,40,2.5
1,86,0,10,2.9,42,1.5,40,2.5
1,86,0,10,2.9,42,2,40,2.5
1,88,0,10,2.9,42,1,40,0.5
1,88,0,10,2.9,42,1.5,40,0.5
1,88,0,10,2.9,42,2,40,0.5
1,88,0,10,2.9,42,1,40,1.5
1,88,0,10,2.9,42,1.5,40,1.5
1,88,0,10,2.9,42,2,40,1.5
1,88,0,10,2.9,42,1,40,2.5
1,88,0,10,2.9,42,1.5,40,2.5
1,88,0,10,2.9,42,2,40,2.5
1,90,0,10,2.9,42,1,40,0.5
1,90,0,10,2.9,42,1.5,40,0.5
1,90,0,10,2.9,42,2,40,0.5
1,90,0,10,2.9,42,1,40,1.5
1,90,0,10,2.9,42,1.5,40,1.5
1,90,0,10,2.9,42,2,40,1.5
1,90,0,10,2.9,42,1,40,2.5
1,90,0,10,2.9,42,1.5,40,2.5
1,90,0,10,2.9,42,2,40,2.5
1,92,0,10,2.9,42,1,40,0.5
1,92,0,10,2.9,42,1.5,40,0.5
1,92,0,10,2.9,42,2,40,0.5
1,92,0,10,2.9,42,1,40,1.5
1,92,0,10,2.9,42,1.5,40,1.5
1,92,0,10,2.9,42,2,40,1.5
1,92,0,10,2.9,42,1,40,2.5
1,92,0,10,2.9,42,1.5,40,2.5
1,92,0,10,2.9,42,2,40,2.5
1,94,0,10,2.9,42,1,40,0.5
1,94,0,10,2.9,42,1.5,40,0.5
1,94,0,10,2.9,42,2,40,0.5
1,94,0,10,2.9,42,1,40,1.5
1,94,0,10,2.9,42,1.5,40,1.5
1,94,0,10,2.9,42,2,40,1.5
1,94,0,10,2.9,42,1,40,2.5
1,94,0,10,2.9,42,1.5,40,2.5
1,94,0,10,2.9,42,2,40,2.5
1,96,0,10,2.9,42,1,40,0.5
1,96,0,10,2.9,42,1.5,40,0.5
1,96,0,10,2.9,42,2,40,0.5
1,96,0,10,2.9,42,1,40,1.5
1,96,0,10,2.9,42,1.5,40,1.5
1,96,0,10,2.9,42,2,40,1.5
1,96,0,10,2.9,42,1,40,2.5
1,96,0,10,2.9,42,1.5,40,2.5
1,96,0,10,2.9,42,2,40,2.5
1,98,0,10,2.9,42,1,40,0.5
1,98,0,10,2.9,42,1.5,40,0.5
1,98,0,10,2.9,42,2,40,0.5
1,98,0,10,2.9,42,1,40,1.5
1,98,0,10,2.9,42,1.5,40,1.5
1,98,0,10,2.9,42,2,40,1.5
1,98,0,10,2.9,42,1,40,2.5
1,98,0,10,2.9,42,1.5,40,2.5
1,98,0,10,2.9,42,2,40,2.5
1,100,0,10,2.9,42,1,40,0.5
1,100,0,10,2.9,42,1.5,40,0.5
1,100,0,10,2.9,42,2,40,0.5
1,100,0,10,2.9,42,1,40,1.5
1,100,0,10,2.9,42,1.5,40,1.5
1,100,0,10,2.9,42,2,40,1.5
1,100,0,10,2.9,42,1,40,2.5
1,100,0,10,2.9,42,1.5,40,2.5
1,100,0,10,2.9,42,2,40,2.5
1,102,0,10,2.9,42,1,40,0.5
1,102,0,10,2.9,42,1.5,40,0.5
1,102,0,10,2.9,42,2,40,0.5
1,102,0,10,2.9,42,1,40,1.5
1,102,0,10,2.9,42,1.5,40,1.5
1,102,0,10,2.9,42,2,40,1.5
1,102,0,10,2.9,42,1,40,2.5
1,102,0,10,2.9,42,1.5,40,2.5
1,102,0,10,2.9,42,2,40,2.5
1,104,0,10,2.9,42,1,40,0.5
1,104,0,10,2.9,42,1.5,40,0.5
1,104,0,10,2.9,42,2,40,0.5
1,104,0,10,2.9,42,1,40,1.5
1,104,0,10,2.9,42,1.5,40,1.5
1,104,0,10,2.9,42,2,40,1.5
1,104,0,10,2.9,42,1,40,2.5
1,104,0,10,2.9,42,1.5,40,2.5
1,104,0,10,2.9,42,2,40,2.5
1,82,0,10,2.9,43,1,40,0.5
1,82,0,10,2.9,43,1.5,40,0.5
1,82,0,10,2.9,43,2,40,0.5
1,82,0,10,2.9,43,1,40,1.5
1,82,0,10,2.9,43,1.5,40,1.5
1,82,0,10,2.9,43,2,40,1.5
1,82,0,10,2.9,43,1,40,2.5
1,82,0,10,2.9,43,1.5,40,2.5
1,82,0,10,2.9,43,2,40,2.5
1,84,0,10,2.9,43,1,40,0.5
1,84,0,10,2.9,43,1.5,40,0.5
1,84,0,10,2.9,43,2,40,0.5
1,84,0,10,2.9,43,1,40,1.5
1,84,0,10,2.9,43,1.5,40,1.5
1,84,0,10,2.9,43,2,40,1.5
1,84,0,10,2.9,43,1,40,2.5
1,84,0,10,2.9,43,1.5,40,2.5
1,84,0,10,2.9,43,2,40,2.5
1,86,0,10,2.9,43,1,40,0.5
1,86,0,10,2.9,43,1.5,40,0.5
1,86,0,10,2.9,43,2,40,0.5
1,86,0,10,2.9,43,1,40,1.5
1,86,0,10,2.9,43,1.5,40,1.5
1,86,0,10,2.9,43,2,40,1.5
1,86,0,10,2.9,43,1,40,2.5
1,86,0,10,2.9,43,1.5,40,2.5
1,86,0,10,2.9,43,2,40,2.5
1,88,0,10,2.9,43,1,40,0.5
1,88,0,10,2.9,43,1.5,40,0.5
1,88,0,10,2.9,43,2,40,0.5
1,88,0,10,2.9,43,1,40,1.5
1,88,0,10,2.9,43,1.5,40,1.5
1,88,0,10,2.9,43,2,40,1.5
1,88,0,10,2.9,43,1,40,2.5
1,88,0,10,2.9,43,1.5,40,2.5
1,88,0,10,2.9,43,2,40,2.5
1,90,0,10,2.9,43,1,40,0.5
1,90,0,10,2.9,43,1.5,40,0.5
1,90,0,10,2.9,43,2,40,0.5
1,90,0,10,2.9,43,1,40,1.5
1,90,0,10,2.9,43,1.5,40,1.5
1,90,0,10,2.9,43,2,40,1.5
1,90,0,10,2.9,43,1,40,2.5
1,90,0,10,2.9,43,1.5,40,2.5
1,90,0,10,2.9,43,2,40,2.5
1,92,0,10,2.9,43,1,40,0.5
1,92,0,10,2.9,43,1.5,40,0.5
1,92,0,10,2.9,43,2,40,0.5
1,92,0,10,2.9,43,1,40,1.5
1,92,0,10,2.9,43,1.5,40,1.5
1,92,0,10,2.9,43,2,40,1.5
1,92,0,10,2.9,43,1,40,2.5
1,92,0,10,2.9,43,1.5,40,2.5
1,92,0,10,2.9,43,2,40,2.5
1,94,0,10,2.9,43,1,40,0.5
1,94,0,10,2.9,43,1.5,40,0.5
1,94,0,10,2.9,43,2,40,0.5
1,94,0,10,2.9,43,1,40,1.5
1,94,0,10,2.9,43,1.5,40,1.5
