times,InitDistance,EgoInitSpeed,EgoTargetSpeed,EgoAcceleration,ActorInitSpeed,ActorReactionTime,ActorTargetSpeed,ActorAcceleration
1,82,0,10,2.9,30,100,30,0
1,84,0,10,2.9,30,100,30,0
1,86,0,10,2.9,30,100,30,0
1,88,0,10,2.9,30,100,30,0
1,96,0,10,2.9,47,1,40,0
1,96,0,10,2.9,47,1.5,40,0
1,96,0,10,2.9,47,2,40,0
1,96,0,10,2.9,47,1,40,0
1,96,0,10,2.9,47,1.5,40,0
1,96,0,10,2.9,47,2,40,0
1,98,0,10,2.9,47,1,40,0
1,98,0,10,2.9,47,1.5,40,0
1,98,0,10,2.9,47,2,40,0
1,98,0,10,2.9,47,1,40,0
1,98,0,10,2.9,47,1.5,40,0
1,98,0,10,2.9,47,2,40,0
1,98,0,10,2.9,47,1,40,0
1,98,0,10,2.9,47,1.5,40,0
1,98,0,10,2.9,47,2,40,0
1,100,0,10,2.9,47,1,40,0
1,100,0,10,2.9,47,1.5,40,0
1,100,0,10,2.9,47,2,40,0
