times,actRea,egoAcc,actVel,actAcc,disInit,DTC,PET,CriticalSpeed,PETcondition,CScondition,isCollision
1,0,2.9,48,0,82,-0.512703388946051,-994079,-15603.063984,risky,risky,Success
1,0,2.9,48,0,83,-0.310745438297849,-994019,-15602.122224,risky,risky,Success
1,0,2.9,48,0,84,-0.109678385954047,-993939,-15600.866544,risky,risky,Success
1,0,2.9,48,0,85,0.09561313314508,60.0000000000009,0.941760000000014,risky,risky,Success
1,0,2.9,48,0,86,0.274558097029777,140,2.19744,risky,risky,Success
1,0,2.9,48,0,87,0.473276489538361,200,3.1392,risky,risky,Success
1,0,2.9,48,0,88,0.816858760916131,280,4.39488,risky,risky,Success
1,0,2.9,48,0,89,1.28380530403692,360,5.65056,risky,risky,Success
1,0,2.9,48,0,90,1.85241084109718,440.000000000001,6.90624000000001,risky,risky,Success
1,0,2.9,48,0,91,2.50213865292661,500,7.848,risky,risky,Success
1,0,2.9,48,0,92,3.21562089020071,580,9.10368,risky,risky,Success
1,0,2.9,48,0,93,3.97902583218166,660,10.35936,risky,risky,Success
1,0,2.9,48,0,94,4.78163502193703,740,11.61504,risky,risky,Success
1,0,2.9,48,0,95,5.61523955045582,800,12.5568,risky,risky,Success
1,0,2.9,48,0,96,6.47356642042017,880,13.81248,risky,risky,Success
1,0,2.9,48,0,97,7.35180540535201,960,15.06816,risky,risky,Success
1,0,2.9,48,0,98,8.24624314056895,1040,16.32384,risky,risky,Success
1,0,2.9,48,0,99,9.1539887005359,1100,17.2656,risky,risky,Success
1,0,2.9,48,0,100,10.0727705189165,1180,18.52128,risky,risky,Success
1,0,2.9,48,0,101,11.0007866585234,1260,19.77696,risky,risky,Success
1,0,2.9,48,0,102,11.9365942085447,1340,21.03264,risky,risky,Success
1,0,2.9,48,0,103,12.8790271648963,1400,21.9744,risky,risky,Success
1,0,2.9,48,0,104,13.8271350316247,1480,23.23008,risky,risky,Success
1,0,2.9,48,0,105,14.780136546888,1560,24.48576,risky,risky,Success
1,0,2.9,48,0,106,15.7373845114858,1640,25.74144,risky,risky,Success
1,0,2.9,48,0,107,16.6983388250508,1700,26.6832,risky,risky,Success
1,0,2.9,48,0,108,17.6625456372111,1780,27.93888,risky,risky,Success
1,0,2.9,48,0,109,18.6296210917577,1860,29.19456,risky,risky,Success
1,0,2.9,48,0,110,19.5992385491188,1940,30.45024,risky,risky,Success
1,0,2.9,48,0,111,20.5711184645238,2000,31.392,risky,risky,Success
1,0,2.9,48,0,112,21.5450203100316,2080,32.64768,risky,risky,Success
1,0,2.9,48,0,113,22.5207360817816,2160,33.90336,risky,risky,Success
1,0,2.9,48,0,114,23.4980850459723,2240,35.15904,risky,risky,Success
1,0,2.9,48,0,115,24.4769094597877,2300,36.1008,risky,risky,Success
1,0,2.9,48,0,116,25.4570710649722,2380,37.35648,risky,risky,Success
1,0,2.9,48,0,117,26.4384481977784,2460,38.61216,risky,risky,Success
1,0,2.9,48,0,118,27.4209333937332,2540,39.86784,risky,risky,Success
1,0,2.9,48,0,119,28.4044313920361,2600,40.8096,risky,safety,Success
1,0,2.9,48,0,120,29.3888574645763,2680,42.06528,risky,safety,Success
1,0,2.9,48,0,121,30.3741360100881,2760,43.32096,risky,safety,Success
1,0,2.9,48,0,122,31.3601993659988,2840,44.57664,risky,safety,Success
1,0,2.9,48,0,123,32.3469867999128,2900,45.5184,risky,safety,Success
1,0,2.9,48,0,124,33.3344436500389,2980,46.77408,risky,safety,Success
1,0,2.9,48,0,125,34.3225205896775,3060,48.02976,safety,safety,Success
1,0,2.9,48,0,126,35.3111729954952,3140,49.28544,safety,safety,Success
1,0,2.9,48,0,127,36.3003604029907,3200,50.2272,safety,safety,Success
1,0,2.9,48,0,128,37.2900460355042,3280,51.48288,safety,safety,Success
1,0,2.9,48,0,129,38.2801963954976,3360,52.73856,safety,safety,Success
1,0,2.9,48,0,130,39.2707809087538,3440,53.99424,safety,safety,Success
1,0,1.5,48,0,82,-1.29618236029545,0,0,risky,risky,Failed
