times,actRea,egoAcc,actVel,actAcc,disInit,DTC,PET,CriticalSpeed,PETcondition,CScondition,isCollision
1,1.3,1,48,0.5,82,-1.87587578677399,0,0,risky,risky,Failed
1,1.3,1,48,0.5,83,-1.8359485282912,0,0,risky,risky,Failed
1,1.3,1,48,0.5,84,-1.6403459542669,0,0,risky,risky,Failed
1,1.3,1,48,0.5,85,-1.43785834081445,0,0,risky,risky,Failed
1,1.3,1,48,0.5,86,-1.22523023935087,0,0,risky,risky,Failed
1,1.3,1,48,0.5,87,-1.00819010517037,0,0,risky,risky,Failed
1,1.3,1,48,0.5,88,-0.881357803885913,0,0,risky,risky,Failed
1,1.3,1,48,0.5,89,-0.647595060417922,0,0,risky,risky,Failed
1,1.3,1,48,0.5,90,-0.407350400821961,0,0,risky,risky,Failed
1,1.3,1,48,0.5,91,-0.196711202818077,440,6.90624,risky,risky,Success
1,1.3,1,48,0.5,92,0.445628005837358,520,8.16192,risky,risky,Success
1,1.3,1,48,0.5,93,1.1717409676481,620,9.73152,risky,risky,Success
1,1.3,1,48,0.5,94,1.95832465238509,700,10.9872,risky,risky,Success
1,1.3,1,48,0.5,95,2.78899850846224,800.000000000001,12.5568,risky,risky,Success
1,1.3,1,48,0.5,96,3.6522054563796,880.000000000001,13.81248,risky,risky,Success
1,1.3,1,48,0.5,97,4.53987194791903,980,15.38208,risky,risky,Success
1,1.3,1,48,0.5,98,5.44627200482731,1060,16.63776,risky,risky,Success
1,1.3,1,48,0.5,99,6.36721069230284,1160,18.20736,risky,risky,Success
1,1.3,1,48,0.5,100,7.29966667861632,1240,19.46304,risky,risky,Success
1,1.3,1,48,0.5,101,8.24136740447183,1340,21.03264,risky,risky,Success
1,1.3,1,48,0.5,102,9.19054952119328,1420,22.28832,risky,risky,Success
1,1.3,1,48,0.5,103,10.145917327634,1520,23.85792,risky,risky,Success
1,1.3,1,48,0.5,104,11.1064068312845,1600,25.1136,risky,risky,Success
1,1.3,1,48,0.5,105,12.0712029295234,1700,26.6832,risky,risky,Success
1,1.3,1,48,0.5,106,13.0396499840197,1780,27.93888,risky,risky,Success
1,1.3,1,48,0.5,107,14.0112098087346,1880,29.50848,risky,risky,Success
1,1.3,1,48,0.5,108,14.9854542347258,1960,30.76416,risky,risky,Success
1,1.3,1,48,0.5,109,15.9620190781104,2060,32.33376,risky,risky,Success
1,1.3,1,48,0.5,110,16.9406112556323,2140,33.58944,risky,risky,Success
1,1.3,1,48,0.5,111,17.9209775457819,2240,35.15904,risky,risky,Success
1,1.3,1,48,0.5,112,18.9029106638948,2320,36.41472,risky,risky,Success
1,1.3,1,48,0.5,113,19.886228969338,2420,37.98432,risky,risky,Success
1,1.3,1,48,0.5,114,20.8707828433991,2500,39.24,risky,risky,Success
1,1.3,1,48,0.5,115,21.8564377134579,2600,40.8096,risky,safety,Success
1,1.3,1,48,0.5,116,22.8430839296477,2680,42.06528,risky,safety,Success
1,1.3,1,48,0.5,117,23.8306192218683,2780,43.63488,risky,safety,Success
1,1.3,1,48,0.5,118,24.8189610471619,2860,44.89056,risky,safety,Success
1,1.3,1,48,0.5,119,25.8080323244716,2960,46.46016,risky,safety,Success
1,1.3,1,48,0.5,120,26.7977673794689,3040,47.71584,safety,safety,Success
1,1.3,1,48,0.5,121,27.788108616691,3140,49.28544,safety,safety,Success
1,1.3,1,48,0.5,122,28.7790022221243,3220,50.54112,safety,safety,Success
1,1.3,1,48,0.5,123,29.7704041914465,3320,52.11072,safety,safety,Success
1,1.3,1,48,0.5,124,30.7622724654578,3400,53.3664,safety,safety,Success
1,1.3,1,48,0.5,125,31.7545698357141,3500,54.936,safety,safety,Success
1,1.3,1,48,0.5,126,32.7472644518218,3580,56.19168,safety,safety,Success
1,1.3,1,48,0.5,127,33.7403249918202,3680,57.76128,safety,safety,Success
1,1.3,1,48,0.5,128,34.7337249770552,3760,59.01696,safety,safety,Success
1,1.3,1,48,0.5,129,35.7274411823755,3860,60.58656,safety,safety,Success
1,1.3,1,48,0.5,130,36.7214514790575,3940,61.84224,safety,safety,Success
