times,actRea,egoAcc,actSpeed,actAcc,disInit,DTC,PET,CriticalSpeed,PETcondition,CScondition,isCollision
1,1.39,1,48,0.5,82.8,-1.87432208275914,0,0,risky,risky,Failed
2,1.39,1,48,0.5,83,-1.86419954945476,0,0,risky,risky,Failed
3,1.39,1,48,0.5,84,-1.66988479590214,0,0,risky,risky,Failed
4,1.39,1,48,0.5,85,-1.47153687575947,0,0,risky,risky,Failed
5,1.39,1,48,0.5,86,-1.25981734705745,0,0,risky,risky,Failed
6,1.39,1,48,0.5,87,-1.15074046938038,0,0,risky,risky,Failed
7,1.39,1,48,0.5,88,-0.921738135316704,0,0,risky,risky,Failed
8,1.39,1,48,0.5,89,-0.690771822164359,0,0,risky,risky,Failed
9,1.39,1,48,0.5,90,-0.450854298459595,0,0,risky,risky,Failed
10,1.39,1,48,0.5,91,-0.210479567622056,0,0,risky,risky,Failed
11,1.39,1,48,0.5,92,0.294669390824699,500,7.848,risky,risky,Success
12,1.39,1,48,0.5,93,1.0044637159195,600,9.4176,risky,risky,Success
13,1.39,1,48,0.5,94,1.77922601232182,680,10.67328,risky,risky,Success
14,1.39,1,48,0.5,95,2.6012445753815,780,12.24288,risky,risky,Success
15,1.39,1,48,0.5,96,3.45802784313989,860,13.49856,risky,risky,Success
16,1.39,1,48,0.5,97,4.34081796599993,960,15.06816,risky,risky,Success
17,1.39,1,48,0.5,98,5.24346129691938,1040,16.32384,risky,risky,Success
18,1.39,1,48,0.5,99,6.16146767533254,1140,17.89344,risky,risky,Success
19,1.39,1,48,0.5,100,7.09158250269392,1220,19.14912,risky,risky,Success
20,1.39,1,48,0.5,101,8.03139750373826,1320,20.71872,risky,risky,Success
21,1.39,1,48,0.5,102,8.97904292618505,1400,21.9744,risky,risky,Success
22,1.39,1,48,0.5,103,9.93313808790248,1500,23.544,risky,risky,Success
23,1.39,1,48,0.5,104,10.8925636165089,1580,24.79968,risky,risky,Success
24,1.39,1,48,0.5,105,11.8564658686662,1680,26.36928,risky,risky,Success
25,1.39,1,48,0.5,106,12.8241506841833,1760,27.62496,risky,risky,Success
26,1.39,1,48,0.5,107,13.7950598157895,1860,29.19456,risky,risky,Success
27,1.39,1,48,0.5,108,14.7687418137617,1940,30.45024,risky,risky,Success
28,1.39,1,48,0.5,109,15.744818063136,2040,32.01984,risky,risky,Success
29,1.39,1,48,0.5,110,16.7229841689051,2120,33.27552,risky,risky,Success
30,1.39,1,48,0.5,111,17.7029745926822,2220,34.84512,risky,risky,Success
31,1.39,1,48,0.5,112,18.6845771616745,2300,36.1008,risky,risky,Success
32,1.39,1,48,0.5,113,19.6676007828657,2400,37.6704,risky,risky,Success
33,1.39,1,48,0.5,114,20.6518927388042,2480,38.92608,risky,risky,Success
34,1.39,1,48,0.5,115,21.6373129540866,2580,40.49568,risky,safety,Success
35,1.39,1,48,0.5,116,22.6237478936726,2660,41.75136,risky,safety,Success
36,1.39,1,48,0.5,117,23.6110937011543,2760,43.32096,risky,safety,Success
37,1.39,1,48,0.5,118,24.599263118038,2840,44.57664,risky,safety,Success
38,1.39,1,48,0.5,119,25.5881788070096,2940,46.14624,risky,safety,Success
39,1.39,1,48,0.5,120,26.5777713779228,3020,47.40192,safety,safety,Success
40,1.39,1,48,0.5,121,27.567982863634,3120,48.97152,safety,safety,Success
41,1.39,1,48,0.5,122,28.5587578504454,3200,50.2272,safety,safety,Success
42,1.39,1,48,0.5,123,29.550050561126,3300,51.7968,safety,safety,Success
43,1.39,1,48,0.5,124,30.5418189927149,3380,53.05248,safety,safety,Success
44,1.39,1,48,0.5,125,31.5340237081418,3480,54.62208,safety,safety,Success
45,1.39,1,48,0.5,126,32.5266327389568,3560,55.87776,safety,safety,Success
46,1.39,1,48,0.5,127,33.5196148542041,3660,57.44736,safety,safety,Success
47,1.39,1,48,0.5,128,34.5129413398594,3740,58.70304,safety,safety,Success
48,1.39,1,48,0.5,129,35.506589261416,3840,60.27264,safety,safety,Success
49,1.39,1,48,0.5,130,36.5005360094604,3920,61.52832,safety,safety,Success
1,1.45,1,48,0.5,82.8,-1.83108008872384,0,0,risky,risky,Failed
2,1.45,1,48,0.5,83,-1.82460121944019,0,0,risky,risky,Failed
3,1.45,1,48,0.5,84,-1.63474902252266,0,0,risky,risky,Failed
4,1.45,1,48,0.5,85,-1.56257208463408,0,0,risky,risky,Failed
5,1.45,1,48,0.5,86,-1.34880627731737,0,0,risky,risky,Failed
6,1.45,1,48,0.5,87,-1.13341580916871,0,0,risky,risky,Failed
7,1.45,1,48,0.5,88,-0.905969957324738,0,0,risky,risky,Failed
8,1.45,1,48,0.5,89,-0.677516066994227,0,0,risky,risky,Failed
9,1.45,1,48,0.5,90,-0.439950841350754,0,0,risky,risky,Failed
10,1.45,1,48,0.5,91,-0.200548488373287,0,0,risky,risky,Failed
11,1.45,1,48,0.5,92,0.206191990403113,500,7.848,risky,risky,Success
12,1.45,1,48,0.5,93,0.905600121277841,580,9.10368,risky,risky,Success
13,1.45,1,48,0.5,94,1.67286676476014,680,10.67328,risky,risky,Success
14,1.45,1,48,0.5,95,2.48940270267096,760.000000000001,11.92896,risky,risky,Success
15,1.45,1,48,0.5,96,3.34212910821773,860,13.49856,risky,risky,Success
16,1.45,1,48,0.5,97,4.2218493550122,940,14.75424,risky,risky,Success
17,1.45,1,48,0.5,98,5.12213483145466,1040,16.32384,risky,risky,Success
18,1.45,1,48,0.5,99,6.03830590327913,1120,17.57952,risky,risky,Success
19,1.45,1,48,0.5,100,6.96695930368201,1220,19.14912,risky,risky,Success
20,1.45,1,48,0.5,101,7.9055999432518,1300,20.4048,risky,risky,Success
21,1.45,1,48,0.5,102,8.85229039818656,1400,21.9744,risky,risky,Success
22,1.45,1,48,0.5,103,9.8055947724943,1480,23.23008,risky,risky,Success
23,1.45,1,48,0.5,104,10.7643630582971,1580,24.79968,risky,risky,Success
24,1.45,1,48,0.5,105,11.7277127945065,1660,26.05536,risky,risky,Success
25,1.45,1,48,0.5,106,12.6949271493412,1760,27.62496,risky,risky,Success
26,1.45,1,48,0.5,107,13.6654351914246,1840,28.88064,risky,risky,Success
27,1.45,1,48,0.5,108,14.6387702723747,1940,30.45024,risky,risky,Success
28,1.45,1,48,0.5,109,15.6145467266528,2020,31.70592,risky,risky,Success
29,1.45,1,48,0.5,110,16.5924500774765,2120,33.27552,risky,risky,Success
30,1.45,1,48,0.5,111,17.5722108371273,2200,34.5312,risky,risky,Success
31,1.45,1,48,0.5,112,18.5536098351018,2300,36.1008,risky,risky,Success
32,1.45,1,48,0.5,113,19.536453793641,2380,37.35648,risky,risky,Success
33,1.45,1,48,0.5,114,20.5205849452462,2480,38.92608,risky,risky,Success
34,1.45,1,48,0.5,115,21.5058620592619,2560,40.18176,risky,safety,Success
35,1.45,1,48,0.5,116,22.4921678327075,2660,41.75136,risky,safety,Success
36,1.45,1,48,0.5,117,23.4793978648015,2740,43.00704,risky,safety,Success
37,1.45,1,48,0.5,118,24.4674620047881,2840,44.57664,risky,safety,Success
38,1.45,1,48,0.5,119,25.4562827364262,2920,45.83232,risky,safety,Success
39,1.45,1,48,0.5,120,26.4457883953015,3020,47.40192,safety,safety,Success
40,1.45,1,48,0.5,121,27.4359205851021,3100,48.6576,safety,safety,Success
41,1.45,1,48,0.5,122,28.4266234718321,3200,50.2272,safety,safety,Success
42,1.45,1,48,0.5,123,29.41784962886,3280,51.48288,safety,safety,Success
43,1.45,1,48,0.5,124,30.4095571264882,3380,53.05248,safety,safety,Success
44,1.45,1,48,0.5,125,31.401705586377,3460,54.30816,safety,safety,Success
45,1.45,1,48,0.5,126,32.3942625447048,3560,55.87776,safety,safety,Success
46,1.45,1,48,0.5,127,33.3871969586361,3640,57.13344,safety,safety,Success
47,1.45,1,48,0.5,128,34.3804787556829,3740,58.70304,safety,safety,Success
48,1.45,1,48,0.5,129,35.3740851731019,3820,59.95872,safety,safety,Success
49,1.45,1,48,0.5,130,36.3679933068138,3920,61.52832,safety,safety,Success
