times,actRea,egoAcc,actVel,actAcc,disInit,DTC,PET,CriticalSpeed,PETcondition,CScondition,isCollision
1,0,1,30,0,82.8,16.2820626536882,2780,43.63488,risky,safety,Success
1,0,1,30,0,83,16.4778073999216,2800,43.9488,risky,safety,Success
1,0,1,30,0,84,17.457335039458,2920,45.83232,risky,safety,Success
1,0,1,30,0,85,18.4385873776197,3040,47.71584,safety,safety,Success
1,0,1,30,0,86,19.4212620363966,3160,49.59936,safety,safety,Success
1,0,1,30,0,87,20.4052303055624,3280,51.48288,safety,safety,Success
1,0,1,30,0,88,21.3903572245394,3400,53.3664,safety,safety,Success
1,0,1,30,0,89,22.3765289948722,3520,55.24992,safety,safety,Success
1,0,1,30,0,90,23.3636398860894,3640,57.13344,safety,safety,Success
1,0,1,30,0,91,24.3515979234272,3760,59.01696,safety,safety,Success
1,0,1,30,0,92,25.3403226866299,3880,60.90048,safety,safety,Success
1,0,1,30,0,93,26.3297464567546,4000,62.784,safety,safety,Success
1,0,1,30,0,94,27.3197977806458,4120,64.66752,safety,safety,Success
1,0,1,30,0,95,28.3104213772966,4240,66.55104,safety,safety,Success
1,0,1,30,0,96,29.3015757533299,4360,68.43456,safety,safety,Success
1,0,1,30,0,97,30.2932172681763,4480,70.31808,safety,safety,Success
1,0,1,30,0,98,31.2853069184376,4600,72.2016,safety,safety,Success
1,0,1,30,0,99,32.2778097411915,4720,74.08512,safety,safety,Success
1,0,1,30,0,100,33.2706943055386,4840,75.96864,safety,safety,Success
1,0,1,30,0,101,34.26393655167,4960,77.85216,safety,safety,Success
1,0,1,30,0,102,35.2575007273944,5080,79.73568,safety,safety,Success
1,0,1,30,0,103,36.2513696258511,5200,81.6192,safety,safety,Success
1,0,1,30,0,104,37.2455216869637,5320,83.50272,safety,safety,Success
1,0,1,30,0,105,38.2399354636266,5440,85.38624,safety,safety,Success
1,0,1,30,0,106,39.2345964406768,5560,87.26976,safety,safety,Success
1,0,1,30,0,107,40.2294886110824,5680,89.15328,safety,safety,Success
1,0,1,30,0,108,41.2245973170711,5800,91.0368,safety,safety,Success
1,0,1,30,0,109,42.2199091111931,5920,92.92032,safety,safety,Success
1,0,1,30,0,110,43.2154116342567,6040,94.80384,safety,safety,Success
1,0,1,30,0,111,44.2110935076644,6160,96.68736,safety,safety,Success
1,0,1,30,0,112,45.2069442382705,6280,98.57088,safety,safety,Success
1,0,1,30,0,113,46.2029541340475,6400,100.4544,safety,safety,Success
1,0,1,30,0,114,47.1991142292473,6520,102.33792,safety,safety,Success
1,0,1,30,0,115,48.1954162177208,6640,104.22144,safety,safety,Success
1,0,1,30,0,116,49.1918523935183,6760,106.10496,safety,safety,Success
1,0,1,30,0,117,50.1884155976907,6880,107.98848,safety,safety,Success
1,0,1,30,0,118,51.1850982935609,7000,109.872,safety,safety,Success
1,0,1,30,0,119,52.181894231694,7120,111.75552,safety,safety,Success
1,0,1,30,0,120,53.1787986519779,7240,113.63904,safety,safety,Success
1,0,1,31,0,82.8,14.4543370076019,2460,38.61216,risky,risky,Success
1,0,1,31,0,83,14.6492135739537,2500,39.24,risky,risky,Success
1,0,1,31,0,84,15.6249726465002,2600,40.8096,risky,safety,Success
1,0,1,31,0,85,16.6028950415485,2720,42.69312,risky,safety,Success
1,0,1,31,0,86,17.5826583848049,2840,44.57664,risky,safety,Success
1,0,1,31,0,87,18.5640600086682,2960,46.46016,risky,safety,Success
1,0,1,31,0,88,19.5469102461209,3080,48.34368,safety,safety,Success
1,0,1,31,0,89,20.531043886733,3180,49.91328,safety,safety,Success
1,0,1,31,0,90,21.5163107479695,3300,51.7968,safety,safety,Success
1,0,1,31,0,91,22.5026080924591,3420,53.68032,safety,safety,Success
1,0,1,31,0,92,23.4898321063582,3540,55.56384,safety,safety,Success
1,0,1,31,0,93,24.4779043096472,3660,57.44736,safety,safety,Success
1,0,1,31,0,94,25.4667181509163,3760,59.01696,safety,safety,Success
1,0,1,31,0,95,26.4562200364169,3880,60.90048,safety,safety,Success
1,0,1,31,0,96,27.4463486777614,4000,62.784,safety,safety,Success
1,0,1,31,0,97,28.4370476234364,4120,64.66752,safety,safety,Success
1,0,1,31,0,98,29.428266478086,4240,66.55104,safety,safety,Success
1,0,1,31,0,99,30.4199672384669,4340,68.12064,safety,safety,Success
1,0,1,31,0,100,31.4121114500923,4460,70.00416,safety,safety,Success
1,0,1,31,0,101,32.4046724767999,4580,71.88768,safety,safety,Success
1,0,1,31,0,102,33.397603316207,4700,73.7712,safety,safety,Success
1,0,1,31,0,103,34.3908827029792,4820,75.65472,safety,safety,Success
1,0,1,31,0,104,35.3844869265572,4920,77.22432,safety,safety,Success
1,0,1,31,0,105,36.378393066108,5040,79.10784,safety,safety,Success
1,0,1,31,0,106,37.372580301247,5160,80.99136,safety,safety,Success
1,0,1,31,0,107,38.3670296776078,5280,82.87488,safety,safety,Success
1,0,1,31,0,108,39.3617208941978,5400,84.7584,safety,safety,Success
1,0,1,31,0,109,40.3566413222225,5520,86.64192,safety,safety,Success
1,0,1,31,0,110,41.3517765047704,5620,88.21152,safety,safety,Success
1,0,1,31,0,111,42.3471131402471,5740,90.09504,safety,safety,Success
1,0,1,31,0,112,43.3426390007435,5860,91.97856,safety,safety,Success
1,0,1,31,0,113,44.3383428260579,5980,93.86208,safety,safety,Success
1,0,1,31,0,114,45.3342142300592,6100,95.7456,safety,safety,Success
1,0,1,31,0,115,46.3302436176314,6200,97.3152,safety,safety,Success
1,0,1,31,0,116,47.3264221109735,6320,99.19872,safety,safety,Success
1,0,1,31,0,117,48.3227414838814,6440,101.08224,safety,safety,Success
1,0,1,31,0,118,49.3191941031838,6560,102.96576,safety,safety,Success
1,0,1,31,0,119,50.3157728763147,6680,104.84928,safety,safety,Success
1,0,1,31,0,120,51.3124712044173,6780,106.41888,safety,safety,Success
1,0,1,32,0,82.8,12.6352968612095,2180,34.21728,risky,risky,Success
1,0,1,32,0,83,12.8291152055606,2200,34.5312,risky,risky,Success
1,0,1,32,0,84,13.8000760731932,2320,36.41472,risky,risky,Success
1,0,1,32,0,85,14.7737618596334,2420,37.98432,risky,risky,Success
1,0,1,32,0,86,15.7498231252249,2540,39.86784,risky,risky,Success
1,0,1,32,0,87,16.7279759992871,2660,41.75136,risky,safety,Success
1,0,1,32,0,88,17.7079603108143,2760,43.32096,risky,safety,Success
1,0,1,32,0,89,18.6895569631925,2880,45.20448,risky,safety,Success
1,0,1,32,0,90,19.6725870742296,3000,47.088,risky,safety,Success
1,0,1,32,0,91,20.6568727180822,3100,48.6576,safety,safety,Success
1,0,1,32,0,92,21.6422811436998,3220,50.54112,safety,safety,Success
1,0,1,32,0,93,22.6287091751361,3320,52.11072,safety,safety,Success
1,0,1,32,0,94,23.6160482306902,3440,53.99424,safety,safety,Success
1,0,1,32,0,95,24.6042125419761,3560,55.87776,safety,safety,Success
1,0,1,32,0,96,25.5931185607713,3660,57.44736,safety,safety,Success
1,0,1,32,0,97,26.5827037792961,3780,59.33088,safety,safety,Success
1,0,1,32,0,98,27.5729084504975,3900,61.2144,safety,safety,Success
1,0,1,32,0,99,28.563679147924,4000,62.784,safety,safety,Success
1,0,1,32,0,100,29.5549646578815,4120,64.66752,safety,safety,Success
1,0,1,32,0,101,30.5467270601245,4220,66.23712,safety,safety,Success
1,0,1,32,0,102,31.5389269939344,4340,68.12064,safety,safety,Success
1,0,1,32,0,103,32.5315316091333,4460,70.00416,safety,safety,Success
1,0,1,32,0,104,33.5245103186531,4560,71.57376,safety,safety,Success
1,0,1,32,0,105,34.517833699686,4680,73.45728,safety,safety,Success
1,0,1,32,0,106,35.5114776092405,4800,75.3408,safety,safety,Success
1,0,1,32,0,107,36.5054206620637,4900,76.9104,safety,safety,Success
1,0,1,32,0,108,37.4996422890775,5020,78.79392,safety,safety,Success
1,0,1,32,0,109,38.4941237594159,5120,80.36352,safety,safety,Success
1,0,1,32,0,110,39.4888479801509,5240,82.24704,safety,safety,Success
1,0,1,32,0,111,40.4837969431934,5360,84.13056,safety,safety,Success
1,0,1,32,0,112,41.4789584016553,5460,85.70016,safety,safety,Success
1,0,1,32,0,113,42.4743196949405,5580,87.58368,safety,safety,Success
1,0,1,32,0,114,43.4698687246701,5700,89.4672,safety,safety,Success
1,0,1,32,0,115,44.4655943475092,5800,91.0368,safety,safety,Success
1,0,1,32,0,116,45.4614862830009,5920,92.92032,safety,safety,Success
1,0,1,32,0,117,46.4575350317575,6020,94.48992,safety,safety,Success
1,0,1,32,0,118,47.4537318028403,6140,96.37344,safety,safety,Success
1,0,1,32,0,119,48.4500684490215,6260,98.25696,safety,safety,Success
1,0,1,32,0,120,49.4465374090796,6360,99.82656,safety,safety,Success
1,0,1,33,0,82.8,10.8279768958212,1920,30.13632,risky,risky,Success
1,0,1,33,0,83,11.0203667281815,1940,30.45024,risky,risky,Success
1,0,1,33,0,84,11.9848904637043,2040,32.01984,risky,risky,Success
1,0,1,33,0,85,12.9530243787372,2160,33.90336,risky,risky,Success
1,0,1,33,0,86,13.9243234841205,2260,35.47296,risky,risky,Success
1,0,1,33,0,87,14.8983425700914,2360,37.04256,risky,risky,Success
1,0,1,33,0,88,15.8746870968897,2480,38.92608,risky,risky,Success
1,0,1,33,0,89,16.8530874509201,2580,40.49568,risky,safety,Success
1,0,1,33,0,90,17.8333091522971,2700,42.3792,risky,safety,Success
1,0,1,33,0,91,18.815092967707,2800,43.9488,risky,safety,Success
1,0,1,33,0,92,19.7982804051529,2920,45.83232,risky,safety,Success
1,0,1,33,0,93,20.7827179454667,3020,47.40192,safety,safety,Success
1,0,1,33,0,94,21.7682693977092,3140,49.28544,safety,safety,Success
1,0,1,33,0,95,22.7548165872422,3240,50.85504,safety,safety,Success
1,0,1,33,0,96,23.7422658152429,3360,52.73856,safety,safety,Success
1,0,1,33,0,97,24.7305297931951,3460,54.30816,safety,safety,Success
1,0,1,33,0,98,25.7195300024889,3560,55.87776,safety,safety,Success
1,0,1,33,0,99,26.7091975710525,3680,57.76128,safety,safety,Success
1,0,1,33,0,100,27.6994774017598,3780,59.33088,safety,safety,Success
1,0,1,33,0,101,28.6903168796334,3900,61.2144,safety,safety,Success
1,0,1,33,0,102,29.6816692204047,4000,62.784,safety,safety,Success
1,0,1,33,0,103,30.673489200682,4120,64.66752,safety,safety,Success
1,0,1,33,0,104,31.6657426004648,4220,66.23712,safety,safety,Success
1,0,1,33,0,105,32.6583965908192,4340,68.12064,safety,safety,Success
1,0,1,33,0,106,33.6514209898953,4440,69.69024,safety,safety,Success
1,0,1,33,0,107,34.6447885637045,4560,71.57376,safety,safety,Success
1,0,1,33,0,108,35.6384727639161,4660,73.14336,safety,safety,Success
1,0,1,33,0,109,36.6324524050291,4760,74.71296,safety,safety,Success
1,0,1,33,0,110,37.6267081287028,4880,76.59648,safety,safety,Success
1,0,1,33,0,111,38.621221424319,4980,78.16608,safety,safety,Success
1,0,1,33,0,112,39.6159753954727,5100,80.0496,safety,safety,Success
1,0,1,33,0,113,40.6109545881827,5200,81.6192,safety,safety,Success
1,0,1,33,0,114,41.6061430227883,5320,83.50272,safety,safety,Success
1,0,1,33,0,115,42.601528790811,5420,85.07232,safety,safety,Success
1,0,1,33,0,116,43.5971008219237,5540,86.95584,safety,safety,Success
1,0,1,33,0,117,44.5928480881669,5640,88.52544,safety,safety,Success
1,0,1,33,0,118,45.5887604134042,5760,90.40896,safety,safety,Success
1,0,1,33,0,119,46.5848283927731,5860,91.97856,safety,safety,Success
1,0,1,33,0,120,47.5810433211627,5960,93.54816,safety,safety,Success
1,0,1,34,0,82.8,9.03667517051324,1660,26.05536,risky,risky,Success
1,0,1,34,0,83,9.22709209006952,1680,26.36928,risky,risky,Success
1,0,1,34,0,84,10.1828036286436,1780,27.93888,risky,risky,Success
1,0,1,34,0,85,11.1434483138886,1880,29.50848,risky,risky,Success
1,0,1,34,0,86,12.1083809190376,2000,31.392,risky,risky,Success
1,0,1,34,0,87,13.0769467713554,2100,32.9616,risky,risky,Success
1,0,1,34,0,88,14.0486161969923,2200,34.5312,risky,risky,Success
1,0,1,34,0,89,15.0229580543216,2320,36.41472,risky,risky,Success
1,0,1,34,0,90,15.9995910193556,2420,37.98432,risky,risky,Success
1,0,1,34,0,91,16.9782411096871,2520,39.55392,risky,risky,Success
1,0,1,34,0,92,17.9586624905813,2640,41.43744,risky,safety,Success
1,0,1,34,0,93,18.9406392442242,2740,43.00704,risky,safety,Success
1,0,1,34,0,94,19.9239945752668,2840,44.57664,risky,safety,Success
1,0,1,34,0,95,20.9085818292278,2940,46.14624,risky,safety,Success
1,0,1,34,0,96,21.8942700094407,3060,48.02976,safety,safety,Success
1,0,1,34,0,97,22.8809389012219,3160,49.59936,safety,safety,Success
1,0,1,34,0,98,23.8684968769777,3260,51.16896,safety,safety,Success
1,0,1,34,0,99,24.8568592724613,3380,53.05248,safety,safety,Success
1,0,1,34,0,100,25.8459509124855,3480,54.62208,safety,safety,Success
1,0,1,34,0,101,26.8357013003719,3580,56.19168,safety,safety,Success
1,0,1,34,0,102,27.8260554336728,3680,57.76128,safety,safety,Success
1,0,1,34,0,103,28.8169629267261,3800,59.6448,safety,safety,Success
1,0,1,34,0,104,29.8083776853274,3900,61.2144,safety,safety,Success
1,0,1,34,0,105,30.80025817792,4000,62.784,safety,safety,Success
1,0,1,34,0,106,31.7925645022267,4120,64.66752,safety,safety,Success
1,0,1,34,0,107,32.7852673810162,4220,66.23712,safety,safety,Success
1,0,1,34,0,108,33.7783370309954,4320,67.80672,safety,safety,Success
1,0,1,34,0,109,34.7717465688322,4440,69.69024,safety,safety,Success
1,0,1,34,0,110,35.7654716677191,4540,71.25984,safety,safety,Success
1,0,1,34,0,111,36.7594882835619,4640,72.82944,safety,safety,Success
1,0,1,34,0,112,37.7537778111938,4740,74.39904,safety,safety,Success
1,0,1,34,0,113,38.748322665569,4860,76.28256,safety,safety,Success
1,0,1,34,0,114,39.7431061439698,4960,77.85216,safety,safety,Success
