times,actRea,egoAcc,actSpeed,actAcc,disInit,DTC,PET,CriticalSpeed,PETcondition,CScondition,isCollision
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,-2.37830884297957,-991939,-15569.474544,risky,risky,Success
1,0,1,40,0,50,5.72450644104461,0,0,risky,risky,Success
1,0,1,40,0,50,5.72450644104461,0,0,risky,risky,Success
1,0,1,40,0,50,5.72450644104461,0,0,risky,risky,Success
1,0,1,40,0,50,5.72450644104461,0,0,risky,risky,Success
1,0,1,40,0,50,5.72450644104461,0,0,risky,risky,Success
1,0,1,40,0,50,5.72450644104461,0,0,risky,risky,Success
1,0,1,40,0,50,5.72450644104461,0,0,risky,risky,Success
1,0,1,40,0,50,5.72450644104461,0,0,risky,risky,Success
1,0,1,40,0,50,5.72450644104461,0,0,risky,risky,Success
